Manufacturer;Mfg. part no.;Supplier;Supp. part no.;Quantity;Description
Adafruit Industries LLC;1393;Digikey;1528-1183-ND;3;eINK display
Xilinx Inc.;XC7A35T-2FTG256I;Digikey;122-1912-ND;5;FPGA
Silicon Labs;EFM32GG990F1024-BGA112T;Digikey;EFM32GG990F1024-BGA112T-ND;5;Microcontroller
ST Microelectronics;LDK220M33R;Farnell;2460813;5;Voltage regulator 3.3V
ST Microelectronics;LDK130M18R;Farnell;2460800;5;Voltage regulator 1.8V
ST Microelectronics;LDK130M10R;Farnell;2460797;5;Voltage regulator 1.0V
Molex;503182-1853;Farnell;2334075;5;microSD card holder
Panasonic Electronic Components;EVPASBC1A;Farnell;2425611;5;Tactile switch
Epson;Q33310F700025 SG-310SCF;Farnell;1278070;5;Crystal oscillator
Wurth Elektronik;686115148922;Farnell;2470725;5;RPi camera connector
Amphenol Commercial Products;114-00841-68;Farnell;2293708;5;SD card slot
Multicomp;MC0805F474Z250CT;Farnell;1759175;400;Capacitor
TDK;C2012X5R1A476M125AC;Farnell;2211186;60;Capacitor
TDK;C2012X5R1H475K125AB;Farnell;2346932;100;Capacitor
Murata;GRM21BR60J107ME15L;Farnell;2494476;50;Capacitor
Multicomp;MC0805N100D500CT;Farnell;1759191;200;Capacitor
Walsin;0805B104K500CT;Farnell;2496944;150;Capacitor
AVX;08053D106KAT2A;Farnell;1867958;80;Capacitor
Multicomp;MC0805F105Z500CT;Farnell;1759432;150;Capacitor
Kingbright;KPHHS-1005QBC-D-V;Farnell;2290337;5;Light Emitting Diode (LED)
Yageo;RC0805FR-0710KL;Farnell;9237755;250;Resistor 10 kohm
Welwyn;WCR0805-150RFI;Farnell;1099794;100;Resistor 150 ohm
Texas Instruments;INA196AIDBVT;Farnell;1564942;20;Current sense amplfier 20x
Texas Instruments;INA198AIDBVT;Farnell;1180146;20;Current sense amplfier 100x
Ohmite;LVK12R010FER;Farnell;1462284;30;Current sense resistor 0.01 ohm
Ohmite;LVK12R050DER;Farnell;1462296;30;Current sense resistor 0.05 ohm
TE Connectivity;TLM2BDR10FTE;Farnell;2483566;30;Current sense resistor 0.1 ohm
Euroquartz;48.000MHZ XO91050UITA;Farnell;1640952;10;Oscillator 48 MHz
Epson;Q3102JF010001 SG-3030JF 32.768KHZ B;Farnell;1278042;5;Oscillator 32.768 kHz
